candidate_id,model_type,epoch,learning_rate,train_accuracy,test_accuracy,train_loss,test_loss
exp-mlp-relu-32,mlp,18,0.18366329,0.9545,0.878,0.185551,0.380323
exp-mlp-relu-32,mlp,19,0.18274498,0.9555,0.886,0.181903,0.378972
exp-mlp-relu-32,mlp,20,0.18183125,0.9605,0.886,0.168972,0.376503
exp-mlp-relu-32,mlp,21,0.1809221,0.96,0.9,0.161156,0.380387
exp-mlp-relu-32,mlp,22,0.18001749,0.9655,0.896,0.154872,0.384247
exp-mlp-relu-32,mlp,23,0.1791174,0.962,0.88,0.159141,0.400886
exp-mlp-relu-32,mlp,24,0.17822181,0.9705,0.886,0.140413,0.387621
exp-tiny-patch-attention,tiny_patch_transformer,1,0.24,0.1,0.1,2.341682,2.342985
exp-tiny-patch-attention,tiny_patch_transformer,2,0.2388,0.1565,0.156,2.290712,2.291406
exp-tiny-patch-attention,tiny_patch_transformer,3,0.237606,0.1445,0.154,2.281977,2.282608
exp-tiny-patch-attention,tiny_patch_transformer,4,0.23641797,0.2415,0.24,2.274638,2.275327
exp-tiny-patch-attention,tiny_patch_transformer,5,0.23523588,0.2505,0.27,2.268105,2.269039
exp-tiny-patch-attention,tiny_patch_transformer,6,0.2340597,0.234,0.23,2.26166,2.262723
exp-tiny-patch-attention,tiny_patch_transformer,7,0.2328894,0.232,0.234,2.255492,2.256609
exp-tiny-patch-attention,tiny_patch_transformer,8,0.23172496,0.2525,0.252,2.249739,2.250828
exp-tiny-patch-attention,tiny_patch_transformer,9,0.23056633,0.259,0.274,2.24393,2.245157
exp-tiny-patch-attention,tiny_patch_transformer,10,0.2294135,0.2475,0.264,2.238454,2.239777
exp-tiny-patch-attention,tiny_patch_transformer,11,0.22826643,0.2775,0.284,2.233027,2.234578
exp-tiny-patch-attention,tiny_patch_transformer,12,0.2271251,0.2555,0.266,2.227881,2.22959
exp-tiny-patch-attention,tiny_patch_transformer,13,0.22598947,0.2655,0.272,2.223031,2.224865
exp-tiny-patch-attention,tiny_patch_transformer,14,0.22485953,0.271,0.278,2.218051,2.220038
exp-tiny-patch-attention,tiny_patch_transformer,15,0.22373523,0.2655,0.276,2.213561,2.215544
exp-tiny-patch-attention,tiny_patch_transformer,16,0.22261655,0.2615,0.274,2.208914,2.211117
exp-tiny-patch-attention,tiny_patch_transformer,17,0.22150347,0.262,0.286,2.204537,2.206715
exp-tiny-patch-attention,tiny_patch_transformer,18,0.22039595,0.2525,0.264,2.200228,2.202469
exp-tiny-patch-attention,tiny_patch_transformer,19,0.21929397,0.276,0.286,2.196059,2.198486
exp-tiny-patch-attention,tiny_patch_transformer,20,0.2181975,0.28,0.294,2.19198,2.194481
exp-tiny-patch-attention,tiny_patch_transformer,21,0.21710652,0.2695,0.28,2.188195,2.19069
